Name,Cuisine
Blue Coffee and Dessert,Cafe
Mushairib Kitchens,"Arabic,Qatari"
Abu Shakir Juice,"Juices,Fruits,Beverages"
Orca Restaurant,"Asian,American,Japanese"
Al Manchab Restaurant,"Arabic,Breakfast,Chicken"
Seven Lounge Restaurant,International
Aurora Cafe,"Cafe,Desserts,Beverages"
Cannelle Chocolate Flowers And Events,"Chocolate,Flowers"
Deema Bnin Mart,"Specialty Store,Supermarket,Convenience Store,Grocery"
ALFANNA,"Mandi,Biryani,Seafood"
Am to Pm Cafeteria,"Burgers,Chicken,Beverages"
Al Terboosh Damascus,"Qatari,Breakfast,Sandwiches"
Alduroob Cafe,"Healthy,Cafe,Sandwiches"
Mr. Broast Hydrebadi Spices,"Breakfast,Indian"
Chai roti Restaurant,"Burgers,Indian,Chinese"
Tantuni,"Sandwiches,International"
Khaneen Restaurant,"Qatari,Mandi,Grills"
Nusret Steak House,"Turkish,Grills,Seafood"
Cuppers Coffee,"Cafe,Desserts"
Al Shurfa,"Arabic,Burgers,Grills"
Lebami Trading And contracting,Electronics
Kebab King Restaurant,"Asian,Biryani,Street food"
Shorba Cafe,"Breakfast,Cafe,Tea"
Feuille D'or Kitchens,"Desserts,Chocolate,Pastries"
La Bonne Vie Trading,"Grocery,Convenience Store"
Flavors Cafe,"Healthy,International"
Shawarma Basha,"Turkish,Grills"
Empire Coffee,"Coffee,Cafe,Beverages"
Rose of Persia,"Iranian,Grills,Sandwiches"
Cafe Bazza,"Cafe,Sandwiches,International"
Burgeri,"Qatari,Breakfast,Burgers"
Le Monot Gourmet,"Lebanese,Grills"
Cake And More,"Desserts,Chocolate"
Roof Garden Restaurant,"Breakfast,Grills"
Dairy Queen,"Burgers,Fast Food,American"
Roll Up Kitchen,"Arabic,Sushi,Pastries"
Hat Shawarma,"Arabic,Shawarma"
Health and Beauty Pharmacy,Pharmacy
Just Samoosa Al Khor,"Burgers,Cafeteria"
Abajour Restaurant,"Arabic,Breakfast,Lebanese"
New Mehaa Restaurant,"Asian,Curry,Seafood"
Karak Rafeek Restaurant,"Sandwiches,Asian,Cafeteria"
Boojee Stickers,"Speciality Store,Stationary"
Bharath Vasanta Bhavan,"Indian,Juices,Curry"
Sooq Waqif Kitchen,"Arabic,Biryani"
Easair Café,"Cafe,Desserts,Arabic"
Diet Factory,"Healthy,Keto,Pizza"
Al Natel Restaurant,Arabic
Hareesna Restaurant,"Asian,Fast Food,Breakfast"
Notes Cafe,"Coffee,Cafe,Cakes"
Laboca,"Argentinian,Mezze,Lebanese,Bakery"
Little Sailor,"Fish & chips,Seafood,Arabic"
Corner Snack,"Filipino,Breakfast,Asian"
Dar Al Maazeem,"Arabic,Grills,Qatari"
Brava Origem For Trade,Flowers
Aromas Ootupura,"Asian,Indian,Chinese"
Istanbul Chef,"Turkish,Grills"
Tea Cup Restaurant,"Burgers,Cafeteria"
Lobster,"Seafood,Egyptian,Fish & chips"
Spring Camel Restaurant,"Burgers,Fast Food"
Jo Sushi,"Sushi,Seafood,Japanese"
Al Qaim Restaurant,"Curry,Biryani,BBQ"
Be Gorgeous With Qatar Baba,Cosmetics
Swich Restaurant,"Shawarma,American,Snacks"
Bombay Chowpatty,"Curry,Indian,Asian"
Sky Light Flowers,Flowers
Zein Pharma Trading,Pharmacy
Darb Al Zalag Restaurant,"Kuwaiti,Arabic,Breakfast"
100 Coffee,"Coffee,Breakfast,Desserts"
Simons Cafe And Grill,"Breakfast,BBQ"
AlQallayel Restaurant,"Indian,Breakfast,Sandwiches"
Freshii,"Salad,Healthy,Mexican"
Tab burger,"American,Burgers,Fast Food"
Bonpresso Cafe,"Cafe,Desserts"
Forno Bakery,"Qatari,Bakery,Grills"
Ocean Chef Restaurant,"Healthy,Arabic,Asian,Mexican,Italian"
Sukar Qasab Sweets,"Desserts,Chocolate,Cakes"
Mansaf Al Bawadi Restaurant,"Mandi,Biryani"
Le Petit Train Bleu Restaurant,"Qatari,Grills,Sandwiches"
Burgerillas,"Pizza,Pasta,Sandwiches"
Rendezvous,"French,Pasta,Pastries"
Star Burger,"Street food,Sandwiches"
Alice's dessert land,"Bubble tea,Desserts"
Dimas Co,"Grills,Arabic,Pastries"
Baklava Zade,"Turkish,Arabic Sweets,Desserts"
Doner Efendi,"Pies,Turkish,Shawarma"
Lelas Perfumes,Perfume
Zeus Trading,"Specialty Store,Supermarket,Coffee & Tea,Grocery"
O Two Cafe,"Salad,Burgers,Pizza"
Royal Mehfil Restaurant,"Breakfast,BBQ"
Al Bisana Restaurant,"Chicken,Biryani"
Deqada,International
Zahr El Laymoun,"Lebanese,Breakfast,Sandwiches"
Izba Chaikhana Restaurant,International
Alsahran Restaurant,"Qatari,BBQ,Burgers"
Mimi's Cake,"Arabic Sweets,Desserts"
Smsm Doha Restaurant,"Egyptian,Sandwiches,Seafood"
Basta Restaurant,"Qatari,Beverages"
Chicken's House,"Grills,Sandwiches,Arabic"
Neo,"Asian,Sushi,Seafood"
Shawarma Abu Al Resh Restaurant,"Arabic,Turkish"
Slicy,"Pizza,Italian"
Lime Fresh Restaurant,"BBQ,Biryani,Street food"
Al Mashreq Natural  Herbs,Cosmetics
84 cafe,"Street food,Asian"
Rajab Tea,"Snacks,Juices,Chicken"
Yemeni House,"Yemeni,Biryani,Arabic"
Jiwan,"Chicken,Qatari,Grills"
Al Maqanes Kitchen,"Seafood,Qatari,Mandi"
Tofu House Express,"Korean,Asian,Noodles"
New Kanthari Restaurant,"Breakfast,BBQ"
Toasts,"Burgers,Street food"
Qinwan,"Specialty Store,Supermarket,Convenience Store,Nuts & Dried Fruit,Grocery"
Al Mohyt Hypermarket,"Grocery,Supermarket"
Tasty Rooster Restaurant,"Asian,Biryani,Street food"
Al Nfnaf,Flowers
Espression By Lavazza,"Italian,Cafe,Sandwiches"
Al Saa`d ٍSweets Pastries And Flowers,"Chocolate,Flowers"
Grandex Supermarket,"Grocery,Supermarket"
Trader Vic's,"Grills,Asian,Sushi"
Azaher Flowers,"Flowers,Chocolate"
Sandwich Station Restaurant,"Grills,Sandwiches,Pastries"
Quick Burger,"Burgers,Fast Food"
Fay Beirut Restaurant,"Qatari,Mezze,Grills"
Sij Burger,Burgers
Oudo,"Cafe,Desserts"
The Brewing Bliss,"Cafe,Desserts,Cakes"
Sushi Stop,"Seafood,Vegetarian,Sushi"
Mango Mania,Desserts
Sub Karak,"Cafe,Sandwiches,International"
AlLadeed AlTurki Bakery,"Bakery,Turkish"
Earth Roastery,"Specialty Store,Supermarket,Roastery,Grocery"
Al Mandarin,"Beverages,Sandwiches,Healthy"
Garey,"Accessories ,Electronics"
Young Inasal,"Fried Chicken,Grills,Chicken"
Mr Juice,"Beverages,Ice cream,Desserts"
Way Restaurant,"Fast Food,Burgers,Pasta"
Areesh Majan Restaurant,"Omani,Grills,Mandi"
Menemen Restaurant,"Arabic,Grills,Turkish"
Tasty Burger,"Burgers,International,Beverages"
Project Pizza,"Pizza,Breakfast,Italian"
Piccola Cucina,"Italian,Pizza,Beverages"
Flowers Market,Flowers
Mercato Antico,"Burgers,Pizza,Pasta"
Barza Restaurant,"Turkish,Shawarma & Doner"
Pasta To Go,Italian
La Gelateria Fina,"Crepes,Cafe,Desserts"
First Day Burger,"Burgers,Fast Food,American"
The Donut Bar,"Beverages,Donuts,Desserts"
