,Name,Tags
0,Mearza Sweets,"'Desserts', 'Cakes', 'Pastries'"
1,Sofrat Alwakra,"'Arabic', 'BBQ', 'Egyptian'"
3,Mamas Kitchen Restaurant,"'Indian', 'Asian'"
4,RP Tech Mobiles,'Electronics'
5,Hot Chicken,"'Indian', 'Fast Food', 'Fried Chicken'"
6,Muse Cafe,"'Cafe', 'Desserts', 'Beverages'"
7,Al Natel Restaurant,'Arabic'
8,Cuppers Coffee,"'Cafe', 'Desserts'"
9,Novo Cinemas,"'Burgers', 'Desserts'"
10,Central cafeteria,"'Breakfast', 'Sandwiches', 'Beverages'"
12,Breakfast Fix,"'Breakfast', 'Waffles', 'Pancakes'"
13,Hyderabadi Biryani House,"'Biryani', 'Indian'"
15,Gulf Colours Flowers,'Flowers'
16,Qure,"'Salad', 'Healthy', 'Bowls'"
17,Spiral Cafe,"'Cafe', 'Desserts'"
18,Morimoto,"'Seafood', 'Japanese'"
19,Jashan Restaurant,"'Curry', 'Indian', 'Cafeteria'"
20,Abriq Tea,"'Sandwiches', 'International', 'Breakfast'"
21,Caramel Sweets and Flowers,"'Desserts', 'Chocolate'"
23,Blue Signature café,"'Crepes', 'Cafe', 'Beverages'"
25,Emsayyan,"'Thai', 'Biryani', 'Seafood'"
26,3nb Leaves,"'Mezze', 'Arabic'"
27,Laura Cafe,"'Juices', 'Coffee', 'Breakfast'"
28,Alamat Trading,'Electronics'
29,Viva Mexico,"'Cafe', 'Tacos'"
30,Fleurs De Luxe,'Flowers'
31,Plaza Hollandi Cafe,"'Donuts', 'Cafe', 'Beverages'"
32,Tajeen Restaurant,"'Moroccan', 'Grills', 'Sandwiches'"
34,Lviola Flowers & Chocolates,'Flowers'
35,Dar Al Maazeem,"'Arabic', 'Grills', 'Qatari'"
36,Al Osra Restaurant,"'Seafood', 'Asian', 'BBQ'"
37,Asmar Restaurant,"'Arabic', 'Pastries', 'Pizza'"
38,Al Saa`d ٍSweets Pastries And Flowers,"'Chocolate', 'Flowers'"
39,Pad Thai by Yum Yum Tree,"'Mandi', 'Seafood'"
40,Al Wakrah Popular Fish Restaurant,'Seafood'
41,Express Way Trading,'Electronics'
42,The Guilt Free Company,"'Gluten free', 'Healthy', 'Vegetarian'"
43,Alfarih Bakery,"'Bakery', 'Lebanese', 'Arabic'"
44,Al Qarmouty Seafood,"'Seafood', 'Arabic', 'Fish & chips'"
45,Hala Kitchen,"'Pizza', 'Beverages'"
46,Al Aker Cuisine Express,"'Desserts', 'Beverages', 'Sandwiches'"
47,Koshari Station,"'Koshary', 'Egyptian', 'Arabic'"
48,Belgravia,"'Burgers', 'Desserts', 'International'"
49,Wqta,"'Cafe', 'Desserts', 'Juices'"
50,Lalezar,"'Arabic', 'Grills'"
51,Gahwetna,"'Qatari', 'Cafe', 'Desserts'"
52,The Flowerpot,'Flowers'
53,The Empanada House,"'International', 'Bakery', 'Pies'"
55,Layali Al Qahira,"'Egyptian', 'Breakfast', 'Sandwiches'"
57,King Tea,"'Burgers', 'Cafeteria'"
59,Zgerty Burger,"'Pizza', 'Cafe', 'Italian'"
60,Cake O'Clock,'Desserts'
61,La Cigale Traiteur,"'International', 'Arabic'"
63,Mission Pizza,"'Pizza', 'Italian'"
64,Pinkberry,"'Desserts', 'Ice Cream', 'Frozen Yogurt'"
65,Breeze Ice,'Desserts'
66,Krispy Kreme,"'Donuts', 'Desserts', 'Coffee'"
67,Fatayer Station,"'Pastries', 'Arabic'"
68,Marrakech Restaurant,"'Chicken', 'Grills'"
69,Miky's Deli,"'Italian', 'Pasta', 'Fast Food'"
70,Habeeb Turkish Restaurant,"'Turkish', 'Shawarma', 'Grills'"
71,Shay & Rqaq,"'Qatari', 'Cafe', 'Sandwiches'"
72,Friends Burger,"'BBQ', 'Grills'"
73,Al Huda Restaurant,"'Mezze', 'Arabic'"
74,Shawaya,"'Lebanese', 'Grills', 'Sandwiches'"
75,Forn AlKabaz For Pies And Pastries,"'Pastries & Sweets', 'Pizza'"
76,BakeMart,'Desserts'
77,Laboca,"'Argentinian', 'Mezze', 'Lebanese', 'Bakery'"
78,Perfect Nutrition Center,"'Salad', 'Healthy', 'Soup'"
79,White Rose Chocolate,'Desserts'
80,Bab Al Salam Restaurant,"'Indian', 'BBQ', 'Grills'"
81,Turkish Yummys,"'Seafood', 'Mandi'"
82,Mr. Saltaa Restaurant,"'Sandwiches', 'Seafood', 'International'"
