,Name,Tags
0,Sabah W Masa,"['Falafel', 'Breakfast', 'Lebanese']"
1,EspressoLab,"['Beverages', 'Coffee', 'Milkshakes']"
2,EspressoLab,"['Beverages', 'Coffee', 'Milkshakes']"
3,Rolls & Sliders,"['Burgers', 'Fast Food', 'American']"
4,Rolls & Sliders,"['Burgers', 'Fast Food', 'American']"
5,Miftah w Finjan,"['Chicken', 'Burgers', 'Grills']"
6,Miftah w Finjan,"['Chicken', 'Burgers', 'Grills']"
7,Zaiqa,"['Indian', 'Pakistani', 'Biryani']"
8,Zaiqa,"['Indian', 'Pakistani', 'Biryani']"
9,Zaiqa,"['Indian', 'Pakistani', 'Biryani']"
10,Cold Stone Creamery,"['Chocolate', 'Cakes', 'Desserts']"
11,Grand Joud Cafe,"['Arabic', 'Grills', 'Qatari']"
12,Grand Joud Cafe,"['Arabic', 'Grills', 'Qatari']"
13,Grand Joud Cafe,"['Arabic', 'Grills', 'Qatari']"
14,Grand Joud Cafe,"['Arabic', 'Grills', 'Qatari']"
15,Dairy Queen,"['Burgers', 'Fast Food', 'American']"
16,Dairy Queen,"['Burgers', 'Fast Food', 'American']"
17,Batteel Café,"['Cafe', 'Arabic', 'International']"
18,Cono Warma,"['Doner', 'Street food', 'Lebanese']"
19,Dunia,"['Mezze', 'Lebanese', 'Arabic']"
20,Magnolia Bakery,"['Cakes', 'Bakery', 'Desserts']"
21,Magnolia Bakery,"['Cakes', 'Bakery', 'Desserts']"
22,Maison De Sushi,"['Japanese', 'Sushi']"
23,Chili's,"['Burgers', 'Mexican', 'American']"
24,Hadeem Dates & Sweets,"['Qatari', 'Arabic Sweets', 'Desserts']"
25,Hadeem Dates & Sweets,"['Qatari', 'Arabic Sweets', 'Desserts']"
26,The Breakfast Club,"['Pancakes', 'American', 'Breakfast']"
27,The Breakfast Club,"['Pancakes', 'American', 'Breakfast']"
28,La Bruschetta,"['Italian', 'Pizza', 'Fast Food']"
29,Captain Billy,"['Seafood', 'Fish & chips']"
30,Captain Billy,"['Seafood', 'Fish & chips']"
31,Cinnabon,"['Desserts', 'Fruits']"
32,Cinnabon,"['Desserts', 'Fruits']"
33,Cinnabon,"['Desserts', 'Fruits']"
34,Cinnabon,"['Desserts', 'Fruits']"
35,Wendy's,"['Fast Food', 'Juices', 'Sandwiches']"
36,Wendy's,"['Fast Food', 'Juices', 'Sandwiches']"
37,Koshari Station,"['Koshary', 'Egyptian', 'Arabic']"
38,Koshari Station,"['Koshary', 'Egyptian', 'Arabic']"
39,Tandoor,"['Biryani', 'Grills', 'Indian']"
40,Tandoor,"['Biryani', 'Grills', 'Indian']"
41,Shater Abbas,"['Shawarma', 'BBQ', 'Arabic']"
42,Blacklist Restaurant,"['Burgers', 'Pasta', 'American']"
43,Blacklist Restaurant,"['Burgers', 'Pasta', 'American']"
44,The Rice Room,"['Asian', 'Wraps', 'Biryani']"
45,Remman Cafe,"['Lebanese', 'Arabic', 'Shawarma']"
46,Remman Cafe,"['Lebanese', 'Arabic', 'Shawarma']"
47,Il Gelato Di Bruno,"['Cafe', 'Desserts']"
48,Il Gelato Di Bruno,"['Cafe', 'Desserts']"
49,Baraha Restaurant,"['Biryani', 'Pizza', 'Pasta']"
50,Baraha Restaurant,"['Biryani', 'Pizza', 'Pasta']"
51,Royal Tandoor,"['Biryani', 'Grills', 'Indian']"
52,Royal Tandoor,"['Biryani', 'Grills', 'Indian']"
53,Build It Burger,"['Burgers', 'Fast Food', 'American']"
54,Gazebo,"['Indian', 'Biryani', 'Street food']"
55,Shanghai Garden,"['Chinese', 'Asian', 'Noodles']"
56,Golden Dragon,"['Asian', 'Pasta', 'Chinese']"
57,Ginger Club,"['Thai', 'Sushi', 'Chinese']"
58,Ginger Club,"['Thai', 'Sushi', 'Chinese']"
59,The French Olive,"['Pizza', 'Healthy', 'Mediterranean']"
60,Chowking,"['Asian', 'Noodles', 'Fish & chips']"
61,Barrio Fiesta,"['Fried Chicken', 'Bowls', 'Filipino']"
62,Flavors Cafe,"['Healthy', 'International']"
63,Sukoon Lounge,"['Pasta', 'Italian', 'Asian']"
64,Applebees,"['Steaks', 'American', 'Burgers']"
65,El Dokan,"['Egyptian', 'Street food', 'Sandwiches']"
66,Mr. Shawarma,"['Shawarma', 'Doner', 'Arabic']"
67,Mr. Shawarma,"['Shawarma', 'Doner', 'Arabic']"
68,Outback Steakhouse,"['Steaks', 'American', 'Grills']"
69,Central Bites,"['Sandwiches', 'Fast Food']"
70,Central Bites,"['Sandwiches', 'Fast Food']"
71,Si El Sayed,"['Egyptian', 'Breakfast', 'Sandwiches']"
72,Layaly Saraya,"['Qatari', 'Fast Food', 'Grills']"
73,Menchie's Frozen Yogurt,"['Frozen Yogurt', 'Ice cream']"
74,Menchie's Frozen Yogurt,"['Frozen Yogurt', 'Ice cream']"
75,Biryani Express,"['Breakfast', 'Indian', 'Asian']"
76,Biryani Express,"['Breakfast', 'Indian', 'Asian']"
77,Biryani Express,"['Breakfast', 'Indian', 'Asian']"
78,Bamboo Asian Restaurant,"['Asian', 'Chinese']"
79,Sable Sweets,"['Arabic Sweets', 'Desserts', 'Chocolate']"
80,Amara,"['Curry', 'Grills', 'Indian']"
81,Filli Cafe,"['Fast Food', 'Smoothies', 'Sandwiches']"
82,Butcha Steakhouse,"['Steaks', 'Grills']"
83,The Chippy,"['Pizza', 'Sandwiches', 'Italian']"
