,Count
Street food,99
Turkish,91
Pastries,90
Bubble tea,9
Wings,9
Fresh Meat & Fish,9
Chocolate,86
Italian,84
Lebanese,84
Falafel,8
Chicken,78
Mandi,76
Speciality Store,76
Chinese,75
Pharmacy,73
Pasta,70
Shawarma & Doner,7
Roastery,7
Tea,7
Optics,7
Keto,7
Curry,69
Specialty Store,68
Bakery,64
Juices,63
Korean,6
Coffee & Tea,6
Jordanian,6
Koshary,6
Kuwaiti,6
Donuts,6
Noodles,59
Salad,58
Tacos,5
Sliders,5
Mediterranean,5
Iraqi,5
Water,5
Stationary,5
Yemeni,5
Churros,5
Desserts,466
Arabic Sweets,46
Cafe,458
Pakistani,43
Japanese,41
Grills,406
Sushi,40
Cafeteria,40
Pet Shop,4
Hypermarket,4
Organic,4
Milkshakes,4
Middle eastern,4
Electronics,39
Sandwiches,380
Snacks,37
Egyptian,37
Arabic,350
Doner,33
Cosmetics,32
Manaqeesh,31
Burgers,309
Filipino,30
Hot Dogs,3
Gelato,3
Waffles,3
Vegan,3
Argentinian,3
South indian,3
Bread & Bakery,3
Foul,3
Nepalese,3
Moroccan,3
Acai,3
Ice cream,29
Breakfast,289
Thai,28
Iranian,28
Convenience Store,28
Kebab,27
Mezze,27
Fried Chicken,26
Qatari,255
Soup,24
Accessories ,24
Bowls,24
Perfume,23
Fruits,22
Toys,22
Fast Food,218
Catering ,2
Supplement,2
Spanish,2
Gluten free,2
Poultry,2
Poke,2
Jamaican,2
Beverages,189
International,187
Indian,183
Pies,18
Smoothies,18
American,177
Coffee,162
Fish & chips,16
Cakes,159
Biryani,158
BBQ,156
Asian,143
Grocery,141
Pizza,140
Frozen Yogurt,14
Seafood,135
Ice Cream,13
Wraps,13
Vegetarian,13
Nuts & Dried Fruit,12
Syrian,12
Pancakes,12
Tunisian ,12
Services,12
Crepes,12
Shawarma,119
Healthy,117
Flowers,115
Supermarket,114
Fruits & Vegetables,11
Steaks,11
Dumplings,11
French,11
Cakes and Desserts,10
Pastries & Sweets,10
Mexican,10
Sudanese,1
Peruvian,1
African,1
British,1
Kombucha ,1
Ramen,1
Baked potatoes,1
Ethiopian,1
Charity ,1
Calzone,1
Bahraini,1
Bagel,1
Palestinian,1
