Name,Tags
Mearza Sweets,"['Desserts', 'Cakes', 'Pastries']"
Sofrat Alwakra,"['Arabic', 'BBQ', 'Egyptian']"
Brouq Food Trading,"['Grocery', 'Supermarket']"
Mamas Kitchen Restaurant,"['Indian', 'Asian']"
RP Tech Mobiles,['Electronics']
Hot Chicken,"['Indian', 'Fast Food', 'Fried Chicken']"
Muse Cafe,"['Cafe', 'Desserts', 'Beverages']"
Al Natel Restaurant,['Arabic']
Cuppers Coffee,"['Cafe', 'Desserts']"
Novo Cinemas,"['Burgers', 'Desserts']"
Central cafeteria,"['Breakfast', 'Sandwiches', 'Beverages']"
Click N Buy,"['Specialty Store', 'Accessories ']"
Breakfast Fix,"['Breakfast', 'Waffles', 'Pancakes']"
Hyderabadi Biryani House,"['Biryani', 'Indian']"
Care n Cure Pharmacy,['Pharmacy']
Gulf Colours Flowers,['Flowers']
Qure,"['Salad', 'Healthy', 'Bowls']"
Spiral Cafe,"['Cafe', 'Desserts']"
Morimoto,"['Seafood', 'Japanese']"
Jashan Restaurant,"['Curry', 'Indian', 'Cafeteria']"
Abriq Tea,"['Sandwiches', 'International', 'Breakfast']"
Caramel Sweets and Flowers,"['Desserts', 'Chocolate']"
Relief Pharmacy,['Pharmacy']
Blue Signature café,"['Crepes', 'Cafe', 'Beverages']"
Synergy Falcon Trading W.L.L,"['Perfume', 'Speciality Store']"
Emsayyan,"['Thai', 'Biryani', 'Seafood']"
3nb Leaves,"['Mezze', 'Arabic']"
Laura Cafe,"['Juices', 'Coffee', 'Breakfast']"
Alamat Trading,['Electronics']
Viva Mexico,"['Cafe', 'Tacos']"
Fleurs De Luxe,['Flowers']
Plaza Hollandi Cafe,"['Donuts', 'Cafe', 'Beverages']"
Tajeen Restaurant,"['Moroccan', 'Grills', 'Sandwiches']"
Botany For Trading,['Cosmetics']
Lviola Flowers & Chocolates,['Flowers']
Dar Al Maazeem,"['Arabic', 'Grills', 'Qatari']"
Al Osra Restaurant,"['Seafood', 'Asian', 'BBQ']"
Asmar Restaurant,"['Arabic', 'Pastries', 'Pizza']"
Al Saa`d ٍSweets Pastries And Flowers,"['Chocolate', 'Flowers']"
Pad Thai by Yum Yum Tree,"['Mandi', 'Seafood']"
Al Wakrah Popular Fish Restaurant,['Seafood']
Express Way Trading,['Electronics']
The Guilt Free Company,"['Gluten free', 'Healthy', 'Vegetarian']"
Alfarih Bakery,"['Bakery', 'Lebanese', 'Arabic']"
Al Qarmouty Seafood,"['Seafood', 'Arabic', 'Fish & chips']"
Hala Kitchen,"['Pizza', 'Beverages']"
Al Aker Cuisine Express,"['Desserts', 'Beverages', 'Sandwiches']"
Koshari Station,"['Koshary', 'Egyptian', 'Arabic']"
Belgravia,"['Burgers', 'Desserts', 'International']"
Wqta,"['Cafe', 'Desserts', 'Juices']"
Lalezar,"['Arabic', 'Grills']"
Gahwetna,"['Qatari', 'Cafe', 'Desserts']"
The Flowerpot,['Flowers']
The Empanada House,"['International', 'Bakery', 'Pies']"
Delta Pharmacy,['Pharmacy']
Layali Al Qahira,"['Egyptian', 'Breakfast', 'Sandwiches']"
Twh Toys Trade Me,['Toys']
King Tea,"['Burgers', 'Cafeteria']"
FizzX,['Speciality Store']
Zgerty Burger,"['Pizza', 'Cafe', 'Italian']"
Cake O'Clock,['Desserts']
La Cigale Traiteur,"['International', 'Arabic']"
Delta Pharmacy,['Pharmacy']
Mission Pizza,"['Pizza', 'Italian']"
Pinkberry,"['Desserts', 'Ice Cream', 'Frozen Yogurt']"
Breeze Ice,['Desserts']
Krispy Kreme,"['Donuts', 'Desserts', 'Coffee']"
Fatayer Station,"['Pastries', 'Arabic']"
Marrakech Restaurant,"['Chicken', 'Grills']"
Miky's Deli,"['Italian', 'Pasta', 'Fast Food']"
Habeeb Turkish Restaurant,"['Turkish', 'Shawarma', 'Grills']"
Shay & Rqaq,"['Qatari', 'Cafe', 'Sandwiches']"
Friends Burger,"['BBQ', 'Grills']"
Al Huda Restaurant,"['Mezze', 'Arabic']"
Shawaya,"['Lebanese', 'Grills', 'Sandwiches']"
Forn AlKabaz For Pies And Pastries,"['Pastries & Sweets', 'Pizza']"
BakeMart,['Desserts']
